
Model:xception BatchSize:16 lr:0.000200
AUC:0.990367 TPR_2:0.892822 TPR_3:0.754386 TPR_4:0.601033 FaceSwap
AUC:0.992159 TPR_2:0.937583 TPR_3:0.855484 TPR_4:0.732610 Face2Face
AUC:0.954910 TPR_2:0.538896 TPR_3:0.373218 TPR_4:0.297678 Test
epoch:005 batch:060000 loss:0.02499 avgloss:0.21779
AUC:0.989119 TPR_2:0.921268 TPR_3:0.820381 TPR_4:0.677184 validset
AUC:0.990142 TPR_2:0.752222 TPR_3:0.305778 TPR_4:0.072333 stylegan_celeba
AUC:0.935512 TPR_2:0.071135 TPR_3:0.004001 TPR_4:0.000222 stylegan_ffhq
AUC:0.938831 TPR_2:0.081537 TPR_3:0.004888 TPR_4:0.000000 faceapp
AUC:0.996006 TPR_2:0.942363 TPR_3:0.835714 TPR_4:0.644868 stargan
AUC:0.987435 TPR_2:0.664548 TPR_3:0.209365 TPR_4:0.028317 pggan_v1
AUC:0.983568 TPR_2:0.583408 TPR_3:0.140312 TPR_4:0.014922 pggan_v2
AUC:0.993549 TPR_2:0.931218 TPR_3:0.850214 TPR_4:0.716708 Deepfakes
AUC:0.993797 TPR_2:0.923395 TPR_3:0.819042 TPR_4:0.658329 FaceSwap
AUC:0.993540 TPR_2:0.953550 TPR_3:0.887142 TPR_4:0.755298 Face2Face
AUC:0.979153 TPR_2:0.655931 TPR_3:0.450717 TPR_4:0.321222 Test
epoch:006 batch:063000 loss:0.27055 avgloss:0.21223
AUC:0.986762 TPR_2:0.905380 TPR_3:0.803881 TPR_4:0.656194 validset

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.10250 avgloss:0.10340
AUC:0.986040 TPR_2:0.892176 TPR_3:0.773096 TPR_4:0.597773 validset
AUC:0.974401 TPR_2:0.340778 TPR_3:0.020556 TPR_4:0.000000 stylegan_celeba
AUC:0.902290 TPR_2:0.005446 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.899030 TPR_2:0.005776 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.992153 TPR_2:0.893534 TPR_3:0.726509 TPR_4:0.502031 stargan
AUC:0.972799 TPR_2:0.258305 TPR_3:0.006466 TPR_4:0.000000 pggan_v1
AUC:0.965721 TPR_2:0.172940 TPR_3:0.004343 TPR_4:0.000111 pggan_v2
AUC:0.993752 TPR_2:0.910246 TPR_3:0.747415 TPR_4:0.504478 Deepfakes
AUC:0.995853 TPR_2:0.947131 TPR_3:0.845207 TPR_4:0.662792 FaceSwap
AUC:0.993155 TPR_2:0.933621 TPR_3:0.816902 TPR_4:0.609113 Face2Face
AUC:0.965461 TPR_2:0.496420 TPR_3:0.351970 TPR_4:0.253169 Test

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.10250 avgloss:0.10340
AUC:0.986040 TPR_2:0.892176 TPR_3:0.773096 TPR_4:0.597773 validset
AUC:0.974401 TPR_2:0.340778 TPR_3:0.020556 TPR_4:0.000000 stylegan_celeba
AUC:0.902290 TPR_2:0.005446 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.899030 TPR_2:0.005776 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.992153 TPR_2:0.893534 TPR_3:0.726509 TPR_4:0.502031 stargan
AUC:0.972799 TPR_2:0.258305 TPR_3:0.006466 TPR_4:0.000000 pggan_v1
AUC:0.965721 TPR_2:0.172940 TPR_3:0.004343 TPR_4:0.000111 pggan_v2
AUC:0.993752 TPR_2:0.910246 TPR_3:0.747415 TPR_4:0.504478 Deepfakes
AUC:0.995853 TPR_2:0.947131 TPR_3:0.845207 TPR_4:0.662792 FaceSwap
AUC:0.993155 TPR_2:0.933621 TPR_3:0.816902 TPR_4:0.609113 Face2Face
AUC:0.965461 TPR_2:0.496420 TPR_3:0.351970 TPR_4:0.253169 Test
epoch:000 batch:006000 loss:0.28155 avgloss:0.10053
AUC:0.987612 TPR_2:0.898972 TPR_3:0.795649 TPR_4:0.635496 validset
AUC:0.968335 TPR_2:0.289000 TPR_3:0.029333 TPR_4:0.003000 stylegan_celeba
AUC:0.883418 TPR_2:0.003112 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.881218 TPR_2:0.003777 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.991063 TPR_2:0.873728 TPR_3:0.673573 TPR_4:0.457537 stargan
AUC:0.964401 TPR_2:0.223411 TPR_3:0.011594 TPR_4:0.000334 pggan_v1
AUC:0.955282 TPR_2:0.155791 TPR_3:0.007127 TPR_4:0.000334 pggan_v2
AUC:0.993078 TPR_2:0.923541 TPR_3:0.789535 TPR_4:0.619116 Deepfakes
AUC:0.995782 TPR_2:0.960483 TPR_3:0.868978 TPR_4:0.736247 FaceSwap
AUC:0.991938 TPR_2:0.944391 TPR_3:0.849634 TPR_4:0.733728 Face2Face
AUC:0.958279 TPR_2:0.486359 TPR_3:0.358864 TPR_4:0.283366 Test
epoch:000 batch:009000 loss:0.04315 avgloss:0.09949
AUC:0.982815 TPR_2:0.863910 TPR_3:0.699169 TPR_4:0.522701 validset
AUC:0.963114 TPR_2:0.468000 TPR_3:0.166333 TPR_4:0.036444 stylegan_celeba
AUC:0.802043 TPR_2:0.013671 TPR_3:0.001556 TPR_4:0.000000 stylegan_ffhq
AUC:0.790016 TPR_2:0.011775 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.991983 TPR_2:0.868845 TPR_3:0.636563 TPR_4:0.381235 stargan
AUC:0.956805 TPR_2:0.376031 TPR_3:0.099443 TPR_4:0.012375 pggan_v1
AUC:0.941915 TPR_2:0.278062 TPR_3:0.050223 TPR_4:0.005791 pggan_v2
AUC:0.988577 TPR_2:0.857420 TPR_3:0.640205 TPR_4:0.415048 Deepfakes
AUC:0.994609 TPR_2:0.937809 TPR_3:0.833348 TPR_4:0.695759 FaceSwap
AUC:0.987823 TPR_2:0.879188 TPR_3:0.720664 TPR_4:0.526781 Face2Face
AUC:0.935210 TPR_2:0.521200 TPR_3:0.349815 TPR_4:0.230381 Test
epoch:001 batch:012000 loss:0.02449 avgloss:0.09865
AUC:0.989406 TPR_2:0.911827 TPR_3:0.802891 TPR_4:0.674277 validset
AUC:0.962199 TPR_2:0.327222 TPR_3:0.032667 TPR_4:0.001667 stylegan_celeba
