
Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.56774 avgloss:inf

Model:xception BatchSize:16 lr:0.000200
epoch:004 batch:051000 loss:0.03673 avgloss:0.12992
AUC:0.989469 TPR_2:0.895705 TPR_3:0.801027 TPR_4:0.642097 validset
AUC:0.986037 TPR_2:0.629000 TPR_3:0.290000 TPR_4:0.061000 stylegan_celeba
AUC:0.921954 TPR_2:0.023119 TPR_3:0.001334 TPR_4:0.000000 stylegan_ffhq
AUC:0.927275 TPR_2:0.034881 TPR_3:0.003555 TPR_4:0.000000 faceapp
AUC:0.996927 TPR_2:0.954137 TPR_3:0.717428 TPR_4:0.193584 stargan
AUC:0.983000 TPR_2:0.527202 TPR_3:0.238350 TPR_4:0.043813 pggan_v1
AUC:0.980082 TPR_2:0.457684 TPR_3:0.173497 TPR_4:0.030401 pggan_v2
AUC:0.993591 TPR_2:0.935732 TPR_3:0.823316 TPR_4:0.679692 Deepfakes
AUC:0.990614 TPR_2:0.931169 TPR_3:0.833420 TPR_4:0.651113 FaceSwap
AUC:0.992932 TPR_2:0.939412 TPR_3:0.874673 TPR_4:0.779873 Face2Face
AUC:0.974712 TPR_2:0.603593 TPR_3:0.439508 TPR_4:0.271053 Test
epoch:005 batch:054000 loss:0.14694 avgloss:0.12661
AUC:0.991673 TPR_2:0.918530 TPR_3:0.849502 TPR_4:0.760251 validset
AUC:0.990290 TPR_2:0.719778 TPR_3:0.256222 TPR_4:0.019222 stylegan_celeba
AUC:0.951962 TPR_2:0.045571 TPR_3:0.001890 TPR_4:0.000000 stylegan_ffhq
AUC:0.952211 TPR_2:0.056210 TPR_3:0.001111 TPR_4:0.000000 faceapp
AUC:0.997538 TPR_2:0.974490 TPR_3:0.780131 TPR_4:0.161320 stargan
AUC:0.989820 TPR_2:0.642363 TPR_3:0.188071 TPR_4:0.006020 pggan_v1
AUC:0.987436 TPR_2:0.579065 TPR_3:0.143207 TPR_4:0.006682 pggan_v2
AUC:0.993536 TPR_2:0.937659 TPR_3:0.867568 TPR_4:0.715267 Deepfakes
AUC:0.990379 TPR_2:0.918501 TPR_3:0.838333 TPR_4:0.687733 FaceSwap
AUC:0.994681 TPR_2:0.955205 TPR_3:0.906448 TPR_4:0.791877 Face2Face
AUC:0.983095 TPR_2:0.647649 TPR_3:0.442553 TPR_4:0.265347 Test
epoch:005 batch:057000 loss:0.03916 avgloss:0.12355
AUC:0.991155 TPR_2:0.916652 TPR_3:0.832245 TPR_4:0.704106 validset
AUC:0.984794 TPR_2:0.447778 TPR_3:0.027222 TPR_4:0.000000 stylegan_celeba
AUC:0.939395 TPR_2:0.009448 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.941590 TPR_2:0.008443 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.994672 TPR_2:0.933966 TPR_3:0.636380 TPR_4:0.147538 stargan
AUC:0.982252 TPR_2:0.344036 TPR_3:0.012486 TPR_4:0.000000 pggan_v1
AUC:0.980192 TPR_2:0.287305 TPR_3:0.016147 TPR_4:0.000000 pggan_v2
AUC:0.994808 TPR_2:0.949792 TPR_3:0.849508 TPR_4:0.620704 Deepfakes
AUC:0.992087 TPR_2:0.935650 TPR_3:0.842760 TPR_4:0.662684 FaceSwap
AUC:0.993794 TPR_2:0.955467 TPR_3:0.885066 TPR_4:0.643935 Face2Face
